reference,category,type,subject,date,notifying_country,classification,risk_decision
"2021.3534","poultry meat and poultry meat products","food","Salmonella Enteritidis and Salmonella group O:7 in official samples of chicken neck skins from Poland ","05-07-2021 16:50:49","Poland","alert notification","serious"
"2021.3533","fats and oils","food","Benzo(a)pyrene in salted butter ","05-07-2021 16:43:24","Netherlands","information notification for attention","serious"
"2021.3531","feed materials","feed","Lead in feed for dogs from Germany","05-07-2021 16:26:03","Germany","alert notification","serious"
"2021.3529","cocoa and cocoa preparations, coffee and tea","food","too high content of cadmium in chocolate from Colombia","05-07-2021 15:52:13","Switzerland","information notification for attention","serious"
"2021.3528","food contact materials","food contact material","3-MCPD in bagasse menu boxes from Hong Kong","05-07-2021 15:46:50","Germany","alert notification","serious"
"2021.3527","prepared dishes and snacks","food","GLASS FRAGMENTS IN RAVIOLI FROM ITALY","05-07-2021 14:39:56","Spain","information notification for attention","serious"
"2021.3524","cephalopods and products thereof","food","Cold chain break in octopus from Morocco","05-07-2021 12:59:41","Spain","border rejection notification","not serious"
"2021.3523","meat and meat products (other than poultry)","food","Salmonella spp detected in Chorizo produced in Spain","05-07-2021 12:54:03","France","alert notification","serious"
"2021.3522","meat and meat products (other than poultry)","food","COMPLAINT ABOUT FOREIGN BODY IN SAUSAGES FROM GERMANY  ","05-07-2021 12:28:14","Spain","information notification for attention","serious"
"2021.3521","food contact materials","food contact material","migration of volatile organic constituents (0.86 %) from silicon kitchen set with wooden handles from China","05-07-2021 12:15:31","Slovenia","information notification for attention","not serious"
"2021.3520","fruits and vegetables","food","formetanate in strawberries from Italy","05-07-2021 12:14:44","Slovenia","information notification for attention","serious"
"2021.3519","dietetic foods, food supplements and fortified foods","food","Traces of soya in organic multigrain porridge for infants from Croatia","05-07-2021 12:11:29","Italy","alert notification","serious"
"2021.3517","bivalve molluscs and products thereof","food","too high count of Escherichia coli (930 MPN/100g) in live mussels from France","05-07-2021 11:21:42","France","alert notification","serious"
"2021.3515","food contact materials","food contact material","Unauthorised use of bamboo in Tableware made from a mix of bamboo fibres and melamine/ polyamide from China","05-07-2021 10:26:39","Spain","border rejection notification","not serious"
"2021.3514","crustaceans and products thereof","food","SO2 por encima de limites max Langostinos de Ecuador // SO2 exceeds  limit max in prawn from Ecuador","05-07-2021 10:22:50","Spain","border rejection notification","not serious"
"2021.3511","poultry meat and poultry meat products","food","Salmonella Enteritidis in frozen chicken kebab from Poland","02-07-2021 17:33:03","Czech Republic","alert notification","serious"
"2021.3509","prepared dishes and snacks","food","Listeria monocytogenes in prepared dish from Slovakia","02-07-2021 16:43:12","Austria","information notification for attention","serious"
"2021.3508","poultry meat and poultry meat products","food","Salmonella group C in Chicken kebab from Poland","02-07-2021 16:20:03","Poland","information notification for attention","serious"
"2021.3507","dietetic foods, food supplements and fortified foods","food","unauthorised substance melatonin in food supplement offered online for sale","02-07-2021 16:19:38","Spain","alert notification","undecided"
"2021.3506","dietetic foods, food supplements and fortified foods","food","Unauthorised novel food cannabidiol (CBD) from the Bulgaria","02-07-2021 16:16:52","Denmark","information notification for follow-up","undecided"
"2021.3505","food contact materials","food","Presence of vegetable fibres in plastic FCM","02-07-2021 16:02:29","Belgium","information notification for follow-up","not serious"
"2021.3503","food contact materials","food contact material","High content of volatile constituents in silicone lollipop mold tray","02-07-2021 15:20:14","Slovenia","information notification for attention","undecided"
"2021.3501","cereals and bakery products","food","Undeclared allergen pistachios in baklava from Turkey","02-07-2021 15:16:18","Germany","alert notification","serious"
"2021.3500","fruits and vegetables","food","unauthorised food additives formaldehyde and ethoxylated alcohol polydimethylsiloxane in the coating of mangoes from Brazil","02-07-2021 15:12:36","Spain","border rejection notification","undecided"
"2021.3499","fruits and vegetables","food","unauthorised food additives formaldehyde and ethoxylated alcohol polydimethylsiloxane in the coating of mangoes from Braz","02-07-2021 15:11:37","Spain","border rejection notification","not serious"
"2021.3497","fruits and vegetables","food","E 218 - methyl-p-hydroxybenzoate unauthorised and unauthorised food additive TBHQ - tertiary butylhydroquinone in the coating of pineapples from Costa Rica","02-07-2021 15:07:30","Spain","border rejection notification","not serious"
"2021.3496","cephalopods and products thereof","food","Superamento limite cadmio in totano atlantico origine Spagna // Cadmium in chilled shortfin squid (Illex illecebrosus) from Spain","02-07-2021 15:05:43","Italy","information notification for attention","serious"
"2021.3495","nuts, nut products and seeds","food","Aflatoxins in shelled pistachios from the United States","02-07-2021 15:02:23","Germany","border rejection notification","serious"
"2021.3494","nuts, nut products and seeds","food","Chlorpyrifos in wheat kernels from India","02-07-2021 14:47:57","Denmark","information notification for attention","undecided"
"2021.3492","poultry meat and poultry meat products","food","Salmonella Enteritidis in official samples of chicken neck skins from Poland ","02-07-2021 14:33:07","Poland","alert notification","serious"
"2021.3488","nuts, nut products and seeds","food","unauthorised substance chlorpyrifos in sesame seeds from India","02-07-2021 11:58:28","Hungary","border rejection notification","undecided"
"2021.3484","nuts, nut products and seeds","food","aflatoxins in blanched groundnuts from Unites States","02-07-2021 10:26:22","Norway","border rejection notification","serious"
"2021.3481","poultry meat and poultry meat products","food","Salmonella enteritidis in chilled poultry meat from Poland  ","01-07-2021 22:45:27","Poland","information notification for attention","serious"
"2021.2908","crustaceans and products thereof","food","PAÍS SIN PLAN VIGILANCIA RESIDUOS, NI  DECLARACIÓN DE LA DECISIÓN 2021/800 // COUNTRY WITHOUT RESIDUES SURVEILLANCE PLAN , OR DECLARATION OF DECISION 2021/800","01-07-2021 17:20:05","Spain","border rejection notification","undecided"
"2021.3479","milk and milk products","food","foreign body (small pieces of glass) in natural and chilli labneh balls from Bulgaria","01-07-2021 17:17:24","Sweden","alert notification","serious"
"2021.3478","soups, broths, sauces and condiments","food","Soy Sauce from China","01-07-2021 17:11:38","Portugal","border rejection notification","undecided"
"2021.3477","feed materials","feed","Chlorpyrifos  in wheat bran","01-07-2021 16:47:37","Croatia","information notification for attention","undecided"
"2021.3476","poultry meat and poultry meat products","food","Listeria monocytogenes in chicken curry salad from Belgium","01-07-2021 16:40:38","Belgium","alert notification","serious"
"2021.3475","cereals and bakery products","food","Allergen information for wheat, milk, egg and soy missing on cookies from Netherlands","01-07-2021 16:31:43","Netherlands","alert notification","serious"
"2021.3474","poultry meat and poultry meat products","food","Salmonella Infantis in poultry mechanically separated meat from Germany ","01-07-2021 16:27:23","Netherlands","alert notification","serious"
"2021.3473","fruits and vegetables","food","Triadimefon in Pineapples (Ananas Comosus) from Dominican Republic","01-07-2021 16:27:00","Spain","border rejection notification","undecided"
"2021.3472","herbs and spices","food","Salmonella in cumin powder from India","01-07-2021 16:15:19","Finland","border rejection notification","serious"
"2021.3471","fruits and vegetables","food","triadimenol in vine leaves in brine from Turkey","01-07-2021 16:01:56","Germany","information notification for follow-up","undecided"
"2021.3470","fruits and vegetables","food","Hare foot in frozen wok mix","01-07-2021 15:57:07","Denmark","information notification for follow-up","undecided"
"2021.3469","nuts, nut products and seeds","food","aflatoxin in Egypt groundnuts","01-07-2021 15:54:24","Netherlands","border rejection notification","serious"
"2021.3468","fats and oils","food","3-MCPD in palm oils","01-07-2021 15:54:01","Denmark","information notification for follow-up","serious"
"2021.3467","poultry meat and poultry meat products","food","Salmonella Enteritidis in chicken quarters from Poland","01-07-2021 15:52:00","Poland","alert notification","serious"
"2021.3466","dietetic foods, food supplements and fortified foods","food","Novel food hydrogen peroxide in food supplements","01-07-2021 15:40:55","Portugal","information notification for follow-up","undecided"
